Country name,Ladder score,log_GDP,Social_Support,Life_expectancy,Freedom,Generosity,Corruption,log_GDP_std,Social_Support_std,Life_expectancy_std,Freedom_std,Generosity_std,Corruption_std
Lithuania,6.818,1.766,1.454,0.598,0.533,0.044,0.116,0.9141017868406254,0.9625045851647631,0.46925777382580064,-0.5411721784889252,-1.3975605109380227,-0.3030644893790249
United Kingdom,6.749,1.822,1.326,0.672,0.713,0.267,0.351,1.0463090296105721,0.5771070303953003,0.9195644185863879,0.5705534999916257,1.6497812373148804,1.5651801612805079
Slovenia,6.743,1.786,1.502,0.695,0.789,0.157,0.131,0.9613186592584635,1.107028668203312,1.0595245919579213,1.0399487864611923,0.14660817763856043,-0.18381483082628877
United Arab Emirates,6.733,1.983,1.164,0.563,0.815,0.209,0.258,1.4264048525741693,0.0893382501401981,0.25627490130390124,1.200531384463938,0.8571990785764569,0.8258322782535439
United States,6.725,1.939,1.392,0.542,0.586,0.223,0.169,1.3225277332549252,0.7758276445733042,0.1284851777907623,-0.21383072871409656,1.0485120134443524,0.11828430417397617
Germany,6.719,1.871,1.39,0.702,0.7,0.174,0.368,1.1619903670342755,0.7698058077800314,1.102121166462301,0.49026220099025253,0.37891674140671877,1.7003297743069423
Mexico,6.678,1.521,1.241,0.544,0.722,0.086,0.127,0.3356950997221081,0.3211789666812038,0.14065562764915654,0.6261397839156533,-0.8236217063343371,-0.21561473977368512
Uruguay,6.611,1.596,1.431,0.592,0.775,0.106,0.22,0.5127583712890015,0.8932534620421255,0.4327464242506179,0.9534812336904827,-0.5503175136659152,0.523733143253279
France,6.609,1.818,1.348,0.727,0.65,0.112,0.281,1.0368656551270046,0.6433472351213019,1.2542517896922292,0.1814495125234331,-0.46832625586538856,1.008681754701073
Saudi Arabia,6.594,1.842,1.361,0.511,0.787,0.114,0.188,1.0935259020284103,0.6824891742775752,-0.06015679501434861,1.0275962789225195,-0.44099583659854635,0.26933387167410855
Kosovo,6.561,1.364,1.277,0.599,0.739,0.254,0.073,-0.034957348757920725,0.42957202896011476,0.4753429987549978,0.7311360979943722,1.4721335120804062,-0.6449135105635353
Singapore,6.523,2.118,1.361,0.769,0.743,0.168,0.575,1.745118741394576,0.6824891742775752,1.5098312367185085,0.7558411130717178,0.29692548360619253,3.345975062334701
Taiwan Province of China,6.503,1.842,1.346,0.65,0.649,0.068,0.202,1.0935259020284103,0.637325398328029,0.7856894701440512,0.17527325875409672,-1.0695954797359164,0.3806335529899957
Romania,6.491,1.699,1.236,0.583,0.717,0.041,0.006,0.7559252642408677,0.3061243746980213,0.37797939988784374,0.5952585150689713,-1.4385561398382858,-1.1775619854324233
El Salvador,6.469,1.265,1.08,0.549,0.816,0.083,0.253,-0.2686808672262199,-0.16357889517726165,0.17108175229514216,1.2067076382332744,-0.8646173352346002,0.7860823920692985
Estonia,6.448,1.752,1.527,0.657,0.805,0.166,0.401,0.8810499761481386,1.1823016281192225,0.828286044648431,1.1387688467705745,0.2695950643393504,1.962679023122962
Poland,6.442,1.738,1.417,0.639,0.6,0.081,0.175,0.8479981654556519,0.8511006044892154,0.7187519959228829,-0.12736317594338695,-0.8919477545014424,0.16598416759507045
Spain,6.421,1.766,1.471,0.729,0.619,0.119,0.177,0.9141017868406254,1.0136901979075827,1.2664222395506235,-0.010014354325995319,-0.37266978843144105,0.1818841220687686
Serbia,6.411,1.538,1.391,0.585,0.663,0.2,0.101,0.3758294412772708,0.7728167261766682,0.390149849746238,0.2617408115248063,0.7342121918756674,-0.42231414793176103
Chile,6.36,1.616,1.369,0.673,0.651,0.117,0.075,0.5599752437068396,0.7065765214506666,0.9256496435155851,0.18762576629276953,-0.40000020769828304,-0.6290135560898371
Panama,6.358,1.702,1.392,0.633,0.72,0.063,0.043,0.7630077951035432,0.7758276445733042,0.6822406463477001,0.6137872763769805,-1.137921527903022,-0.8834128276690075
Malta,6.346,1.827,1.444,0.707,0.727,0.25,0.125,1.0581132477150315,0.9323954011983988,1.1325472911082868,0.6570210527623354,1.4174726735467218,-0.23151469424738327
Italy,6.324,1.8,1.328,0.72,0.513,0.112,0.074,0.9943704699509502,0.5831288671885732,1.2116552151878492,-0.6646972538756531,-0.46832625586538856,-0.6369635333266862
Guatemala,6.287,1.26,1.169,0.467,0.735,0.105,0.078,-0.2804850853306792,0.1043928421233806,-0.32790669189902183,0.7064310829170265,-0.5639827232993363,-0.6051636243792898
Nicaragua,6.284,1.097,1.263,0.542,0.793,0.133,0.251,-0.66530259553606,0.38741917140720467,0.1284851777907623,1.0646538015385378,-0.1813568535635456,0.7701824375956003
Brazil,6.272,1.43,1.269,0.548,0.685,0.13,0.142,0.12085833022094469,0.4054846817870233,0.16499652736594503,0.3976183944502072,-0.22235248246380893,-0.09636508122094907
Slovakia,6.257,1.706,1.54,0.638,0.566,0.096,0.058,0.7724511695871108,1.2214435672754964,0.7126667709936857,-0.3373558041008246,-0.686969610000126,-0.7641631691162715
Latvia,6.234,1.7,1.508,0.564,0.666,0.127,0.078,0.7582861078617594,1.1250941785831305,0.2623601262330984,0.28026957283281556,-0.2633481113640722,-0.6051636243792898
Uzbekistan,6.195,1.212,1.394,0.539,0.835,0.251,0.215,-0.3938055791334908,0.7818494813665772,0.11022950300317091,1.324056459850666,1.431137883180143,0.48398325706903356
Argentina,6.188,1.562,1.381,0.585,0.681,0.087,0.08,0.43248968817867656,0.7427075422103039,0.390149849746238,0.37291337937286156,-0.809956496700916,-0.5892636699055916
Kazakhstan,6.188,1.622,1.457,0.556,0.733,0.149,0.12,0.5741403054321911,0.9715373403546728,0.21367832679952203,0.6940785753783537,0.03728650057119162,-0.2712645804316287
Cyprus,6.068,1.794,1.217,0.744,0.529,0.124,0.049,0.9802054082255988,0.2489169251619294,1.3577006134885803,-0.5658771935662708,-0.3043437402643355,-0.8357129642479131
Japan,6.06,1.786,1.354,0.785,0.632,0.023,0.219,0.9613186592584635,0.6614127455011205,1.6071948355856625,0.0702769446753779,-1.6845299132398657,0.5157831660164299
South Korea,6.058,1.815,1.178,0.77,0.555,0.126,0.158,1.0297831242643285,0.13149110769310818,1.5159164616477057,-0.4052945955635243,-0.2770133209974933,0.030834554568636256
Philippines,6.048,1.232,1.146,0.441,0.826,0.099,0.136,-0.3465887067156526,0.03514171900074229,-0.4861225400581471,1.2684701759266384,-0.6459739810998627,-0.14406494464204336
Vietnam,6.043,1.331,1.267,0.539,0.843,0.094,0.16,-0.11286518824735396,0.3994628449937504,0.11022950300317091,1.3734664900053573,-0.7143000292669682,0.04673450904233443
Portugal,6.03,1.728,1.368,0.699,0.757,0.047,0.035,0.8243897292467328,0.7035656030540305,1.0838654916747097,0.8423086658424274,-1.3565648820377594,-0.9470126455638002
Hungary,6.017,1.722,1.528,0.596,0.581,0.123,0.067,0.8102246675213813,1.1853125465158592,0.4570873239674064,-0.24471199756077858,-0.31800894989775663,-0.6926133739846296
